course_name,part_name,student_id,previous_attempts,studied_credits,final_result,gender,region,education,imd_band,age_band,disability,course_part,part_length,total_assessments,avg_submission_days,average_score,total_vle_used,average_days,total_clicks
AAA,2013J,180753,0,120,Pass,M,South West Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,111.4,53.4,83.0,114.18,2012.0
AAA,2013J,181316,0,120,Withdrawn,F,South West Region,A Level or Equivalent,80-90%,35-55,N,2013J,268,1.0,20.0,76.0,37.0,14.03,487.0
AAA,2013J,183096,0,60,Pass,F,South West Region,A Level or Equivalent,60-70%,0-35,N,2013J,268,5.0,114.8,54.0,83.0,103.65,1975.0
AAA,2013J,183947,0,180,Pass,M,London Region,A Level or Equivalent,10-20,0-35,N,2013J,268,5.0,115.2,49.0,69.0,126.43,964.0
AAA,2013J,184271,0,170,Pass,M,South West Region,HE Qualification,80-90%,35-55,N,2013J,268,5.0,111.6,59.8,90.0,89.45,1312.0
AAA,2013J,185439,0,120,Fail,M,London Region,HE Qualification,10-20,0-35,N,2013J,268,1.0,24.0,74.0,36.0,15.44,427.0
AAA,2013J,186149,0,60,Pass,M,Scotland,HE Qualification,30-40%,35-55,N,2013J,268,5.0,122.8,76.0,133.0,92.96,2136.0
AAA,2013J,187100,0,60,Distinction,M,South East Region,A Level or Equivalent,50-60%,35-55,N,2013J,268,5.0,112.2,89.2,97.0,111.29,8562.0
AAA,2013J,188278,0,120,Withdrawn,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,2013J,268,6.0,99.17,71.67,118.0,77.59,4497.0
AAA,2013J,189879,0,120,Pass,M,Scotland,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,113.6,79.4,75.0,127.73,1541.0
AAA,2013J,192183,0,60,Pass,F,South West Region,Lower Than A Level,90-100%,0-35,N,2013J,268,5.0,114.6,68.4,86.0,113.22,3219.0
AAA,2013J,195262,0,60,Withdrawn,M,London Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,1.0,118.0,50.0,75.0,102.41,1905.0
AAA,2013J,200860,0,60,Pass,M,London Region,Lower Than A Level,50-60%,35-55,N,2013J,268,5.0,112.2,54.4,42.0,92.29,534.0
AAA,2013J,202635,0,60,Withdrawn,F,Wales,A Level or Equivalent,30-40%,0-35,N,2013J,268,3.0,73.67,66.67,49.0,41.09,1418.0
AAA,2013J,205350,0,60,Pass,M,South West Region,HE Qualification,80-90%,35-55,N,2013J,268,5.0,114.2,72.2,106.0,88.67,1665.0
AAA,2013J,205719,0,90,Fail,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,2013J,268,3.0,67.0,56.67,35.0,67.05,333.0
AAA,2013J,227499,0,60,Distinction,F,London Region,A Level or Equivalent,10-20,35-55,N,2013J,268,5.0,113.2,83.6,86.0,88.2,2953.0
AAA,2013J,227517,0,180,Fail,M,Ireland,HE Qualification,,0-35,N,2013J,268,5.0,113.6,62.6,59.0,78.13,1205.0
AAA,2013J,228082,0,60,Pass,M,London Region,HE Qualification,60-70%,0-35,N,2013J,268,5.0,114.2,72.4,24.0,116.74,227.0
AAA,2013J,228222,0,60,Pass,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,2013J,268,5.0,121.0,61.8,45.0,102.1,445.0
AAA,2013J,229179,0,60,Pass,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,2013J,268,5.0,113.4,66.0,45.0,86.68,614.0
AAA,2013J,229361,0,60,Pass,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,2013J,268,5.0,113.2,78.0,52.0,119.6,1215.0
AAA,2013J,231554,0,240,Pass,M,London Region,A Level or Equivalent,40-50%,0-35,N,2013J,268,4.0,101.75,67.75,67.0,100.06,1839.0
AAA,2013J,235507,0,240,Withdrawn,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,6.0,100.0,57.83,93.0,95.96,1257.0
AAA,2013J,236284,0,60,Pass,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,2013J,268,5.0,115.8,78.0,56.0,143.48,732.0
AAA,2013J,238007,0,60,Pass,M,South Region,HE Qualification,90-100%,55+,N,2013J,268,5.0,114.2,79.2,92.0,117.87,1935.0
AAA,2013J,240712,0,80,Pass,M,London Region,HE Qualification,80-90%,0-35,N,2013J,268,5.0,114.2,75.8,33.0,102.86,321.0
AAA,2013J,240884,0,120,Pass,M,South Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,112.2,58.4,48.0,108.7,427.0
AAA,2013J,241649,0,60,Pass,M,East Anglian Region,HE Qualification,90-100%,35-55,N,2013J,268,5.0,108.2,78.8,77.0,96.27,1892.0
AAA,2013J,241729,0,60,Fail,F,East Midlands Region,HE Qualification,60-70%,35-55,N,2013J,268,5.0,115.2,58.6,77.0,136.48,1829.0
AAA,2013J,242793,0,60,Pass,M,London Region,HE Qualification,20-30%,35-55,N,2013J,268,5.0,113.6,77.4,82.0,115.71,658.0
AAA,2013J,246834,0,60,Pass,M,South West Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,5.0,114.0,55.6,50.0,107.75,1174.0
AAA,2013J,248270,0,90,Pass,M,North Western Region,Lower Than A Level,20-30%,0-35,N,2013J,268,5.0,118.0,78.4,64.0,103.42,1969.0
AAA,2013J,255548,0,60,Pass,M,Wales,Lower Than A Level,20-30%,35-55,N,2013J,268,5.0,119.0,71.4,77.0,91.28,2580.0
AAA,2013J,256815,0,120,Pass,M,North Western Region,HE Qualification,10-20,0-35,N,2013J,268,5.0,118.8,76.8,79.0,148.3,1481.0
AAA,2013J,258392,0,60,Pass,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,2013J,268,5.0,116.4,58.8,63.0,104.02,844.0
AAA,2013J,258894,0,60,Pass,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,2013J,268,5.0,117.4,64.8,85.0,112.86,4963.0
AAA,2013J,260355,0,60,Withdrawn,F,London Region,A Level or Equivalent,80-90%,35-55,N,2013J,268,3.0,69.0,38.33,35.0,67.56,426.0
AAA,2013J,262011,0,60,Pass,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,2013J,268,5.0,116.8,71.0,49.0,98.72,1066.0
AAA,2013J,262934,0,60,Pass,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,2013J,268,5.0,113.2,76.6,71.0,93.9,2407.0
AAA,2013J,268073,0,90,Fail,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,2013J,268,5.0,112.0,74.6,88.0,113.36,3210.0
AAA,2013J,268733,0,180,Withdrawn,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,2.0,73.5,43.0,15.0,72.38,191.0
AAA,2013J,271251,0,60,Pass,M,Scotland,A Level or Equivalent,80-90%,35-55,N,2013J,268,5.0,114.2,76.4,93.0,96.11,3348.0
AAA,2013J,277880,0,60,Withdrawn,F,South East Region,A Level or Equivalent,60-70%,0-35,N,2013J,268,6.0,34.67,67.67,66.0,66.94,2028.0
AAA,2013J,279572,0,60,Distinction,M,London Region,Lower Than A Level,40-50%,0-35,N,2013J,268,5.0,111.2,79.2,57.0,102.86,1183.0
AAA,2013J,281022,0,150,Pass,F,Scotland,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,115.6,73.4,45.0,110.13,492.0
AAA,2013J,281250,0,60,Fail,M,Wales,Lower Than A Level,70-80%,35-55,N,2013J,268,5.0,112.0,55.4,24.0,64.56,130.0
AAA,2013J,281589,0,60,Fail,M,North Western Region,HE Qualification,30-40%,0-35,N,2013J,268,,,,12.0,32.82,59.0
AAA,2013J,282821,0,60,Pass,M,South West Region,A Level or Equivalent,30-40%,35-55,N,2013J,268,5.0,120.0,60.6,69.0,93.81,1961.0
AAA,2013J,286488,0,60,Pass,M,South East Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,5.0,116.2,71.0,76.0,118.39,1046.0
AAA,2013J,287548,0,120,Pass,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,113.8,67.8,53.0,83.67,483.0
AAA,2013J,290201,0,60,Pass,M,Wales,A Level or Equivalent,20-30%,0-35,N,2013J,268,5.0,115.4,70.4,65.0,101.14,1740.0
AAA,2013J,290757,0,60,Pass,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,113.4,75.0,37.0,119.11,652.0
AAA,2013J,291334,0,60,Distinction,M,South East Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,5.0,114.8,83.6,99.0,107.47,5231.0
AAA,2013J,292923,0,180,Withdrawn,F,South East Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,,,,,,
AAA,2013J,293699,0,120,Pass,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,2013J,268,4.0,142.0,46.75,35.0,153.29,187.0
AAA,2013J,294570,0,60,Pass,M,South East Region,HE Qualification,90-100%,55+,N,2013J,268,5.0,110.6,78.2,85.0,115.38,1775.0
AAA,2013J,294594,0,60,Pass,M,South East Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,112.8,52.8,52.0,109.21,865.0
AAA,2013J,295741,0,240,Fail,M,South East Region,A Level or Equivalent,40-50%,35-55,N,2013J,268,17.0,153.71,71.0,145.0,105.66,3099.0
AAA,2013J,296332,0,60,Distinction,M,South Region,Post Graduate Qualification,90-100%,55+,N,2013J,268,5.0,111.4,86.8,91.0,93.08,2152.0
AAA,2013J,298696,0,60,Pass,F,South East Region,HE Qualification,80-90%,0-35,N,2013J,268,5.0,116.8,80.8,44.0,93.13,514.0
AAA,2013J,300398,0,60,Pass,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,2013J,268,5.0,105.6,78.8,55.0,110.95,1997.0
AAA,2013J,302302,0,60,Fail,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,2013J,268,3.0,64.67,58.67,42.0,56.78,513.0
AAA,2013J,305152,0,60,Fail,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,2013J,268,1.0,19.0,64.0,17.0,53.59,146.0
AAA,2013J,305386,0,120,Pass,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,2013J,268,5.0,114.2,78.0,81.0,87.72,1277.0
AAA,2013J,305539,0,120,Withdrawn,F,Wales,Lower Than A Level,80-90%,0-35,N,2013J,268,,,,13.0,-7.88,68.0
AAA,2013J,306107,0,120,Pass,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,2013J,268,5.0,113.8,58.2,63.0,107.83,987.0
AAA,2013J,306466,0,60,Pass,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,2013J,268,5.0,111.2,82.0,68.0,114.62,1220.0
AAA,2013J,306897,0,60,Pass,F,London Region,A Level or Equivalent,10-20,0-35,N,2013J,268,5.0,113.8,62.6,83.0,87.02,2742.0
AAA,2013J,307061,0,60,Pass,F,East Midlands Region,HE Qualification,10-20,0-35,N,2013J,268,5.0,114.2,81.2,69.0,109.76,1081.0
AAA,2013J,307866,0,60,Pass,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,2013J,268,4.0,90.75,60.0,74.0,91.43,1476.0
AAA,2013J,311917,0,120,Pass,M,South West Region,A Level or Equivalent,60-70%,55+,N,2013J,268,5.0,114.4,59.2,84.0,106.85,2230.0
AAA,2013J,312537,0,60,Distinction,M,South Region,Post Graduate Qualification,90-100%,55+,N,2013J,268,5.0,112.6,87.8,111.0,107.44,12882.0
AAA,2013J,312782,0,60,Pass,M,South Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,113.4,61.8,30.0,82.42,281.0
AAA,2013J,318933,0,120,Pass,F,East Anglian Region,HE Qualification,80-90%,0-35,N,2013J,268,5.0,106.2,66.6,66.0,86.43,1281.0
AAA,2013J,319047,0,60,Pass,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,2013J,268,5.0,115.6,78.4,104.0,131.43,6589.0
AAA,2013J,321942,0,60,Pass,M,South Region,HE Qualification,90-100%,55+,N,2013J,268,5.0,111.4,80.4,102.0,102.89,10083.0
AAA,2013J,324002,0,60,Pass,M,East Anglian Region,HE Qualification,40-50%,35-55,N,2013J,268,5.0,113.6,80.4,80.0,98.7,1901.0
AAA,2013J,324084,0,60,Pass,F,South West Region,A Level or Equivalent,10-20,35-55,N,2013J,268,5.0,113.6,57.6,81.0,113.84,1961.0
AAA,2013J,324282,0,120,Pass,M,South East Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,113.4,61.2,23.0,94.22,133.0
AAA,2013J,331358,0,60,Withdrawn,F,South Region,HE Qualification,90-100%,35-55,N,2013J,268,6.0,98.83,84.67,214.0,113.35,6588.0
AAA,2013J,332789,0,60,Pass,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,2013J,268,5.0,113.8,74.4,69.0,119.02,1655.0
AAA,2013J,333059,0,120,Pass,M,Scotland,A Level or Equivalent,20-30%,0-35,N,2013J,268,5.0,114.0,65.8,39.0,140.7,301.0
AAA,2013J,333323,0,60,Pass,M,Scotland,HE Qualification,80-90%,0-35,N,2013J,268,5.0,114.2,74.4,45.0,121.33,648.0
AAA,2013J,334259,0,150,Fail,F,London Region,A Level or Equivalent,50-60%,0-35,N,2013J,268,2.0,68.5,53.0,30.0,47.39,332.0
AAA,2013J,334333,0,240,Withdrawn,F,South West Region,A Level or Equivalent,0-10%,0-35,Y,2013J,268,1.0,18.0,36.0,23.0,17.59,303.0
AAA,2013J,335764,0,60,Withdrawn,F,South East Region,A Level or Equivalent,20-30%,0-35,N,2013J,268,8.0,71.63,86.88,115.0,94.81,3928.0
AAA,2013J,336207,0,120,Pass,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,2013J,268,5.0,112.2,68.2,66.0,98.73,1316.0
AAA,2013J,339972,0,60,Pass,M,North Region,A Level or Equivalent,80-90%,0-35,N,2013J,268,5.0,113.8,49.8,28.0,99.15,333.0
AAA,2013J,341872,0,180,Fail,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,2013J,268,5.0,130.2,64.2,25.0,150.78,201.0
AAA,2013J,342007,0,60,Withdrawn,F,West Midlands Region,HE Qualification,70-80%,0-35,N,2013J,268,6.0,99.67,82.33,118.0,100.98,3178.0
AAA,2013J,342514,0,60,Pass,M,Scotland,Lower Than A Level,50-60%,55+,N,2013J,268,5.0,104.2,77.2,74.0,92.73,1950.0
AAA,2013J,342972,0,60,Pass,M,Yorkshire Region,HE Qualification,0-10%,0-35,N,2013J,268,5.0,112.2,60.4,62.0,88.66,838.0
AAA,2013J,343446,0,120,Pass,M,Ireland,HE Qualification,70-80%,35-55,N,2013J,268,5.0,116.6,78.4,104.0,103.8,3644.0
AAA,2013J,344282,0,60,Fail,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,2013J,268,5.0,113.2,49.2,14.0,100.89,65.0
AAA,2013J,345068,0,180,Pass,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y,2013J,268,5.0,115.8,78.0,50.0,119.91,547.0
AAA,2013J,345357,0,60,Distinction,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,2013J,268,5.0,111.8,80.4,79.0,119.23,2219.0
AAA,2013J,346025,0,120,Pass,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,2013J,268,5.0,113.2,82.4,34.0,101.44,569.0
AAA,2013J,346843,0,120,Fail,F,Scotland,HE Qualification,50-60%,35-55,N,2013J,268,,,,17.0,25.6,164.0
AAA,2013J,350188,0,60,Pass,M,North Western Region,HE Qualification,80-90%,35-55,N,2013J,268,5.0,114.2,73.8,50.0,113.2,761.0
AAA,2013J,354858,0,120,Withdrawn,M,South Region,HE Qualification,90-100%,35-55,N,2013J,268,,,,23.0,-2.7,198.0
AAA,2013J,357668,0,60,Fail,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,2013J,268,3.0,63.33,57.0,23.0,75.81,166.0
AAA,2013J,364177,0,60,Fail,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,2013J,268,4.0,86.5,69.0,47.0,94.05,821.0
AAA,2013J,365244,0,120,Pass,F,London Region,A Level or Equivalent,0-10%,0-35,N,2013J,268,5.0,114.2,56.4,72.0,99.52,891.0
AAA,2013J,365642,0,60,Pass,M,East Anglian Region,Lower Than A Level,10-20,35-55,N,2013J,268,5.0,112.4,70.0,85.0,109.41,2129.0
AAA,2013J,366483,0,60,Pass,M,South West Region,HE Qualification,40-50%,0-35,N,2013J,268,5.0,112.0,76.8,63.0,104.96,1465.0
AAA,2013J,368194,0,120,Pass,F,South West Region,A Level or Equivalent,50-60%,0-35,Y,2013J,268,5.0,119.4,50.4,46.0,117.59,437.0
